"","Diptank","date","approx.date","ras.0","ras.med.1k","ras.var.1k","ras.med.2k","ras.var.2k","ras.med.3k","ras.var.3k","ras.med.4k","ras.var.4k"
"147","Madlakude","261","2018-09-14","5987","5575","162352.529514904","5335","228298.532849125","5280","371565.657626572","5334","360600.010242009"
"148","Madlakude","284","2018-09-30","6408","6277","342726.666861485","5945.5","304361.130717875","5916","471848.542032043","5945","443305.74058025"
"149","Madlakude","300","2018-10-16","6537","5688","558443.994155465","5383.5","444252.269982759","5419","676199.9922053","5410","648012.600080961"
"150","Madlakude","309","2018-11-01","6573","5911","362702.272355348","5609.5","318520.816862918","5683","514325.769514223","5713","478062.445457222"
"151","Madlakude","334","2018-11-17","6391","5317","868693.133255406","5148.5","623478.725156817","5358","743426.431199314","5315","782426.918443435"
"152","Madlakude","352","2018-12-03","5636","5461","653796.862653419","5158.5","478050.268900627","5234","633222.705493652","5297","636819.481772307"
"153","Madlakude","6","2018-12-19","6896","6304","428908.050847458","5859","535037.576849712","5837","692290.210449587","5877","649574.869556417"
"154","Madlakude","6","2019-01-01","6896","6652","572314.554061952","6178","520450.688547742","6141","689214.320644967","6170","705295.118918161"
"155","Madlakude","22","2019-01-17","6466","6466","910374.725891292","5808","713872.881479036","5876","853563.860926133","5937","779639.827028967"
"156","Madlakude","37","2019-02-02","6629","6236","565259.078901227","5412","736064.314661971","5444","749000.552932903","5441","740874.646477053"
"157","Madlakude","55","2019-02-18","7598","6929","910837.112799532","6789","834874.273669344","6816","692817.006204992","6752","597670.447685945"
"158","Madlakude","79","2019-03-06","7853","7853","535636.585037989","7398","596212.271028209","7154","683440.442085522","7053","579915.445489422"
"159","Madlakude","84","2019-03-22","7860","7732","313066.236703682","7419.5","382864.617952386","7242","397049.242478187","7188","335799.464830327"
"160","Madlakude","97","2019-04-07","8138","7970","343403.662185856","7579.5","409750.560067496","7334","485474.009486971","7253","426242.46983518"
"161","Madlakude","120","2019-04-23","7704","7606","303791.381063705","7300","346334.904460585","7108","427312.339032842","7079","433629.834752448"
"162","Madlakude","136","2019-05-09","6896","7022","291496.98188194","6701","297697.801841458","6665","395119.551687509","6688","476962.641626301"
"163","Madlakude","154","2019-05-25","7050","6304","302426.188194039","6160","335634.348061333","6258","451954.498443258","6373","539923.255820212"
"164","Madlakude","168","2019-06-10","6053","5907","231303.050847458","5812","301032.786764976","5902","481897.290572368","5945","614876.652631918"
"165","Madlakude","177","2019-06-26","5826","5561","184046.341320865","5599","237957.732071457","5653","402811.60787675","5671","501022.892685462"
"166","Madlakude","193","2019-07-12","6099","5278","198270.945645821","5282","280921.185796559","5365","460671.403133997","5367","595744.832751427"
"167","Madlakude","209","2019-07-28","5034","4806","128362.346580947","4820.5","231626.996368438","4944","381376.372497308","4946","485946.757092125"
"168","Madlakude","234","2019-08-13","5631","4659","241663.390999416","4694","356191.364073218","4768","551021.118436957","4780","618491.665767357"
"169","Madlakude","255","2019-08-29","5439","4374","306403.015780245","4343","390713.142291185","4400","590694.695720973","4453","620570.8773742"
"170","Madlakude","271","2019-09-14","5375","4336","327801.495032145","4193.5","407128.5793808","4237","557753.903218244","4245","592088.341139616"
"171","Madlakude","285","2019-09-30","4924","4242","224447.167738165","4189.5","249218.263765086","4217","501291.865497462","4296","531037.203082953"
"172","Madlakude","291","2019-10-16","5678","4598","276213.068965517","4521.5","301792.516708852","4504","457837.741295063","4538","442873.193052546"
"173","Madlakude","307","2019-11-01","6253","5822","266828.001753361","5692","263167.266076079","5639","448825.467088635","5660","434624.420041952"
"174","Madlakude","333","2019-11-17","7533","7419","371795.038573933","6928.5","439484.775925315","6752","519938.821681575","6728","512154.960195778"
"175","Madlakude","349","2019-12-03","7887","7860","419916.775569842","7576","495460.931165401","7337","569535.158523988","7194","509093.976801954"
"176","Madlakude","360","2019-12-19","7011","6748","922837.27761543","6233","634256.989197021","6202","709471.148348388","6196","689130.672745631"
"177","Madlakude","6","2020-01-01","6680","6017","681719.725891292","5706.5","628130.179597227","5696","682350.045632697","5686","737083.001317914"
"178","Madlakude","29","2020-01-17","6046","6046","650719.389246055","5447.5","565889.469792011","5473","730873.400401456","5515","756377.25750613"
"179","Madlakude","45","2020-02-02","6250","6337","581477.931034483","5997","545647.982098969","5968","741130.178157257","6051","722013.296102839"
"180","Madlakude","57","2020-02-18","6713","6598","862515.457042665","5624","680162.581801842","5814","771631.945935254","5924","678781.794062717"
"181","Madlakude","79","2020-03-05","5906","5502","412118.974284044","5469","366554.732419941","5437","498256.75715552","5431","543161.989021984"
"182","Madlakude","91","2020-03-21","6296","5520","662545.82817066","5245","542344.576354499","5170","680244.671838714","5192","640003.35185773"
"183","Masondo","114","2016-04-22","6265","6265.5","140960.708766234","6290.5","176453.601563666","6404.5","242524.235064114","6475","303273.08519613"
"184","Masondo","137","2016-05-08","5980","6299.5","162189.417857143","6276.5","229720.999477534","6360","298400.843363665","6421.5","390089.5981339"
"185","Masondo","160","2016-05-24","6197","6441","151702.797077922","6363","204071.26795044","6455","275357.956816744","6518.5","361054.234888647"
"186","Masondo","162","2016-06-09","6207","6207","129860.072402597","6207","179638.989699955","6267","257277.733306739","6328","334434.442833402"
"187","Masondo","178","2016-06-25","6180","6207","126952.251623377","6216.5","189148.380336617","6285","277514.734571761","6330","410271.60480908"
"188","Masondo","201","2016-07-11","5640","5683.5","159307.124350649","5593","283330.759646962","5613","400709.65827152","5662","574114.33646386"
"189","Masondo","217","2016-07-27","4868","5207","186553.645454545","5148","287627.336150918","5275","376453.285402651","5324.5","556673.903167253"
"190","Masondo","226","2016-08-12","4991","5048","138293.131168831","5012.5","236815.518958053","5102.5","320851.264529786","5131","524986.34977734"
"191","Masondo","249","2016-08-28","4492","4605.5","129089.799675325","4530.5","179694.18301239","4563.5","262743.207603789","4569","417131.79377475"
"192","Masondo","265","2016-09-13","4563","4650","82572.6646103896","4554.5","166224.38212793","4580.5","272555.58455523","4579","381434.227033325"
"193","Masondo","279","2016-09-29","4941","4847.5","60303.6905844156","4763","158284.376156889","4779","283365.251247053","4787","417475.510674295"
"194","Masondo","290","2016-10-15","4490","4351","43667.6155844156","4293","85607.2921331542","4296","171997.769751596","4302","232805.797830336"
"195","Masondo","309","2016-10-31","6276","5833.5","418554.051948052","5570","1162628.61591282","5411","1756163.01040409","5412","2092789.97625309"
"196","Masondo","322","2016-11-16","6251","6247","200888.379220779","6236.5","216394.466039707","6300.5","258144.364887011","6302","335130.143922037"
"197","Masondo","343","2016-12-02","6405","6359.5","119374.760714286","6380","151252.907001045","6423.5","240982.393964551","6450","320203.965162754"
