"","Diptank","date","approx.date","ras.0","ras.med.1k","ras.var.1k","ras.med.2k","ras.var.2k","ras.med.3k","ras.var.3k","ras.med.4k","ras.var.4k"
"423","Mpala","309","2018-11-01","3423","3081.5","126655.216287678","3075","224874.63154323","3130","275306.851083326","3148","283342.479921767"
"424","Mpala","334","2018-11-17","2749","2425.5","294775.408778424","2513","392836.277245882","2563","483974.894517356","2645","543012.987498587"
"425","Mpala","339","2018-12-03","2157","2415","285585.716552089","2506","472312.482667547","2566","589021.752353879","2688","633329.498959911"
"426","Mpala","353","2018-12-19","2067","2146","172069.758064516","2236.5","272391.151186677","2413","292613.843991025","2523","402385.467960748"
"427","Mpala","13","2019-01-01","2800","2964","238377.097038604","3027.5","645756.051667217","3115","880312.420198989","3212","787165.612562462"
"428","Mpala","22","2019-01-17","2768","2762.5","318379.765203596","2896","340877.424892704","2930","395438.314103073","2977","419636.480597825"
"429","Mpala","40","2019-02-02","2758","3127.5","818399.350608144","3114","854803.842558967","3145","804853.712924149","3113","938556.619962919"
"430","Mpala","49","2019-02-18","3750","3669","345439.26097303","3946.5","568839.11184476","4360","631771.979754836","4492","644852.202102788"
"431","Mpala","79","2019-03-06","3780","4196","282765.404812269","4361.5","317484.775925315","4527","344961.682383244","4472","402353.034196305"
"432","Mpala","84","2019-03-22","4219","4386","137031.071390799","4455","190280.744946994","4570","190685.644483085","4484","212460.704393244"
"433","Mpala","104","2019-04-07","3973","3971","234453.106292967","4322","360587.852463226","4513","391562.151420264","4488","418929.446826599"
"434","Mpala","120","2019-04-23","3489","3326","307949.696456901","3652","311610.263453285","3820","334744.139688747","3822","375047.373615665"
"435","Mpala","136","2019-05-09","3050","2711","254065.523268112","3051","271344.655001651","3152","311306.167733278","3194","351256.231745314"
"436","Mpala","152","2019-05-25","2552","2464","285449.722104707","2668","288900.222680753","2823","324804.094335539","2880","367144.370043186"
"437","Mpala","168","2019-06-10","2416","2034.5","200349.522210471","2233.5","200601.755346466","2361","271738.087084509","2434","322572.662113641"
"438","Mpala","184","2019-06-26","2185","1826","202412.773400317","1926","182146.113733906","2087","246359.20750211","2166","292734.082304927"
"439","Mpala","200","2019-07-12","1868","1701","199038.765732417","1753.5","163954.506437768","1865","228735.456158325","1929","266002.188884618"
"440","Mpala","209","2019-07-28","1927","1601","133567.859333686","1665","145204.309673159","1808","205392.1608935","1884","257878.048167409"
"441","Mpala","234","2019-08-13","1761","1568.5","29115.4743521946","1589.5","169192.808939511","1671","300581.277061493","1740","374684.245282294"
"442","Mpala","255","2019-08-29","1539","1466","31104.87678477","1472.5","129376.894684714","1527","257563.092243202","1575","310696.678696271"
"443","Mpala","271","2019-09-14","1524","1379","21925.5441565309","1341","137508.855214409","1399","270195.703357119","1480","314506.105076085"
"444","Mpala","285","2019-09-30","1458","1419.5","21590.1229508197","1413","132423.2525586","1459","241267.68140201","1543","291870.175245891"
"445","Mpala","291","2019-10-16","2042","1820.5","42382.0243257536","1826","231066.190326841","1949","400960.541035057","2028","474428.438148642"
"446","Mpala","307","2019-11-01","2633","2300.5","133927.850079323","2202","395541.102839221","2203","787168.041197394","2241","899220.594516924"
"447","Mpala","333","2019-11-17","3853","3276","183551.719989424","3304","460982.02195444","3413","586181.74255597","3385","578073.698394646"
"448","Mpala","349","2019-12-03","3544","4132","423397.15203596","4039","705351.225486959","4147","617045.540782534","4132","635368.11302598"
"449","Mpala","360","2019-12-19","3499","2881","413165.118191433","2964","505971.187190492","3017","501057.457262213","3055","483246.79831777"
"450","Mpala","4","2020-01-01","3046","2774.5","415635.36964569","2903","473393.427698911","3078","662186.97108246","3148","723807.461236349"
"451","Mpala","29","2020-01-17","3035","2759.5","351859.794024326","2951","586664.582021936","3015","789990.193642181","3094","837017.725782893"
"452","Mpala","45","2020-02-02","4060","3979","374852.814383924","4048.5","469986.947599134","4159","515908.572788075","4195","571812.971949262"
"453","Mpala","57","2020-02-18","3086","3314","251748.621893178","3328.5","378165.486390815","3399","434324.929481028","3387","481423.795948176"
"454","Mpala","79","2020-03-05","3224","2887.5","166591.557112639","3007.5","304413.730108947","3143","509574.932756618","3152","616766.307904674"
"455","Mpala","91","2020-03-21","3140","2841.5","156126.450819672","2937.5","306019.031950405","3080","489145.364283086","3083","575072.562556809"
"456","Namaneni","114","2016-04-22","1723","1761","146997.324043716","2050","210995.445648957","2135","271358.709756452","2237","403554.359985981"
"457","Namaneni","137","2016-05-08","1873","1852","139443.73715847","2030","209930.821629421","2134","220801.009945474","2199","318538.380968639"
"458","Namaneni","153","2016-05-24","1647","1755","150062.46284153","2035","220556.92611366","2120","237524.931537623","2195","325921.359750831"
"459","Namaneni","162","2016-06-09","1709","1829","131468.928961749","1999","251490.68861921","2169","262895.470934206","2181","323562.936821399"
"460","Namaneni","185","2016-06-25","1516","1486","104788.947540984","1822","181029.705971585","2019","269420.17739004","2018","294855.782404414"
"461","Namaneni","201","2016-07-11","1538","1459","62624.9218579235","1621","152342.051132159","1728","350425.639890949","1767","361151.971049359"
"462","Namaneni","217","2016-07-27","1499","1499","110999.98579235","1682","174055.187805239","1782","403404.382428208","1784","403227.737838877"
"463","Namaneni","226","2016-08-12","1531","1484","83107.4448087432","1658","184138.662757141","1792","458926.447313704","1766","431914.298349425"
"464","Namaneni","249","2016-08-28","1399","1397","52344.1218579235","1550","143328.034556756","1637","274659.616735732","1638","258134.467488186"
"465","Namaneni","265","2016-09-13","1460","1373","49489.8240437158","1525","206809.959634453","1654","211774.988549618","1644","226335.366353133"
