"","Diptank","approx.date","ras.0","ras.med.1k","ras.var.1k","ras.med.2k","ras.var.2k","ras.med.3k","ras.var.3k","ras.med.4k","ras.var.4k"
"164","Hlanjwana","2019-11-17","15097","15097",NA,"15097",NA,"15097",NA,"15097","1270.33333333333"
"165","Hlanjwana","2019-11-25","15263","15263",NA,"15263",NA,"15263",NA,"15229","3172"
"166","Hlanjwana","2019-12-03","15454","15454",NA,"15454",NA,"15454",NA,"15454","185.333333333333"
"167","Hlanjwana","2019-12-11","14986","14986",NA,"14986",NA,"14986",NA,"14987","52.3333333333333"
"168","Hlanjwana","2019-12-19","15308","15308",NA,"15308",NA,"15308",NA,"15292","545.333333333333"
"169","Hlanjwana","2019-12-27",NA,NA,NA,NA,NA,NA,NA,NA,NA
"170","Hlanjwana","2020-01-01","15351","15351",NA,"15351",NA,"15351",NA,"15357","1054.33333333333"
"171","Hlanjwana","2020-01-09","15348","15348",NA,"15348",NA,"15348",NA,"15316","10348"
"172","Hlanjwana","2020-01-17","14968","14968",NA,"14968",NA,"14968",NA,"14993","3658.33333333333"
"173","Hlanjwana","2020-01-25","15359","15359",NA,"15359",NA,"15359",NA,"15359","1867"
"174","Hlanjwana","2020-02-02","15229","15229",NA,"15229",NA,"15229",NA,"15332","4603"
"175","Hlanjwana","2020-02-10","15209","15209",NA,"15209",NA,"15209",NA,"15224","525"
"176","Hlanjwana","2020-02-18","15083","15083",NA,"15083",NA,"15083",NA,"15083","1684.33333333333"
"177","Hlanjwana","2020-02-26","15025","15025",NA,"15025",NA,"15025",NA,"15148","10936.3333333333"
"178","Hlanjwana","2020-03-05","15192","15192",NA,"15192",NA,"15192",NA,"15182","201.333333333333"
"179","Hlanjwana","2020-03-13","15128","15128",NA,"15128",NA,"15128",NA,"15128","1701"
"180","Hlanjwana","2020-03-21","15127","15127",NA,"15127",NA,"15127",NA,"15127","25.3333333333333"
"181","Hlanjwana","2020-03-29","15144","15144",NA,"15144",NA,"15144",NA,"15144","457"
"182","Madlakude","2016-04-30","14957","14957",NA,"14957",NA,"14957",NA,"14994.5","2812.5"
"183","Madlakude","2016-05-08","14824","14824",NA,"14824",NA,"14824",NA,"14851.5","1512.5"
"184","Madlakude","2016-05-16","14859","14859",NA,"14859",NA,"14859",NA,"14855.5","24.5"
"185","Madlakude","2016-05-24","14829","14829",NA,"14829",NA,"14829",NA,"14831","8"
"186","Madlakude","2016-06-01","14895","14895",NA,"14895",NA,"14895",NA,"14880.5","420.5"
"187","Madlakude","2016-06-09","14799","14799",NA,"14799",NA,"14799",NA,"14797","8"
"188","Madlakude","2016-06-17","14918","14918",NA,"14918",NA,"14918",NA,"14920.5","12.5"
"189","Madlakude","2016-06-25","14850","14850",NA,"14850",NA,"14850",NA,"14851","2"
"190","Madlakude","2016-07-03","14806","14806",NA,"14806",NA,"14806",NA,"14807.5","4.5"
"191","Madlakude","2016-07-11","14767","14767",NA,"14767",NA,"14767",NA,"14761.5","60.5"
"192","Madlakude","2016-07-19","14948","14948",NA,"14948",NA,"14948",NA,"14949","2"
"193","Madlakude","2016-07-27","14857","14857",NA,"14857",NA,"14857",NA,"14845.5","264.5"
"194","Madlakude","2016-08-04","14898","14898",NA,"14898",NA,"14898",NA,"14913","450"
